,Actual_Price,CompanyName,Discount,Discount_Price,MobileName,Ratings,Reviews,Stars
181,"11,999",Infinix,20,"9,499","Infinix Hot 9 (Ocean Wave, 64 GB)","96,715","7,043",4.4
182,"18,999",Infinix,15,"15,999","Infinix Zero 8i (Black Diamond, 128 GB)","1,091",186,4.2
183,"19,999",Samsung,22,"15,499","Samsung Galaxy F41 (Fusion Blue, 64 GB)","1,62,915","21,368",4.3
184,"21,990",OPPO,31,"14,990","OPPO A9 2020 (Marine Green, 128 GB)","53,219","4,748",4.3
185,"44,900",Apple,15,"37,999","Apple iPhone SE (Red, 128 GB)","78,810","6,926",4.5
186,"19,999",POCO,20,"15,999","POCO M2 Pro (Green and Greener, 128 GB)","1,77,868","18,761",4.4
187,"22,999",Realme,4,"21,999","Realme 7 Pro (Mirror Silver, 128 GB)","18,379","1,878",4.4
188,"20,999",Realme,4,"19,999","Realme 7 Pro (Sun Kissed Leather, 128 GB)","51,905","5,686",4.4
189,"12,990",OPPO,15,"10,990","OPPO A33 (Mint Cream, 32 GB)",292,21,4.1
190,"47,900",Apple,18,"38,999","Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)","61,624","5,322",4.6
191,"39,900",Apple,17,"32,999","Apple iPhone SE (Red, 64 GB)","78,810","6,926",4.5
192,"10,999",Redmi,15,"9,299","Redmi 9i (Nature Green, 128 GB)","1,26,716","7,318",4.3
193,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Blue, 128 GB)","1,62,915","21,368",4.3
194,"17,990",OPPO,13,"15,490","OPPO A53 (Electric Black, 128 GB)","2,476",177,4.2
195,"44,900",Apple,15,"37,999","Apple iPhone SE (White, 128 GB)","78,810","6,926",4.5
196,"19,990",OPPO,15,"16,990","OPPO A52 (Stream White, 128 GB)","3,378",266,4.3
197,"1,379",Nokia,0,"1,372",Nokia 105 DS 2020 / 105 ta-1299 ds,"7,113",562,4.2
198,"16,999",Redmi,18,"13,860","Redmi Note 9 Pro (Aurora Blue, 64 GB)","9,334",691,4.4
199,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Green, 128 GB)","1,62,915","21,368",4.3
200,"11,999",Infinix,20,"9,499","Infinix Hot 9 (Quetzal Cyan, 64 GB)","96,715","7,043",4.4
201,"47,900",Apple,18,"38,999","Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)","61,624","5,322",4.6
202,"9,990",Vivo,5,"9,490","Vivo Y11 (Agate Red, 32 GB)","13,973",972,4.3
203,"15,990",OPPO,18,"12,990","OPPO A53 (Fairy White, 64 GB)","12,249",931,4.3
204,"9,990",Vivo,5,"9,490","Vivo Y11 (Mineral Blue, 32 GB)","13,973",972,4.3
205,"16,990",Vivo,23,"12,990","Vivo Y20 (Obsidian Black, 64 GB)","7,873",473,4.4
206,"16,990",Vivo,23,"12,990","Vivo Y20 (Purist Blue, 64 GB)","7,873",473,4.4
207,"17,990",Vivo,22,"13,990","Vivo Y20 (Purist Blue, 64 GB)","3,270",214,4.4
208,"16,990",Vivo,23,"12,990","Vivo Y20 (Dawn White, 64 GB)","7,873",473,4.4
209,"19,999",Samsung,22,"15,499","Samsung Galaxy F41 (Fusion Blue, 64 GB)","1,62,915","21,368",4.3
210,"17,990",Vivo,22,"13,990","Vivo Y20 (Obsidian Black, 64 GB)","3,270",214,4.4
211,"15,490",Vivo,25,"11,490","Vivo Y20i (Nebula Blue, 64 GB)","4,131",299,4.3
212,"18,990",Vivo,26,"13,990","Vivo Y30 (Dazzle Blue, 128 GB)","6,068",400,4.3
213,"12,990",OPPO,15,"10,990","OPPO A33 (Mint Cream, 32 GB)",292,21,4.1
214,"18,990",Vivo,26,"13,990","Vivo Y30 (Emerald Black, 128 GB)","6,068",400,4.3
215,"18,990",Vivo,21,"14,990","Vivo Y30 (Dazzle Blue, 128 GB)",12,1,4
216,799,BlackZone,18,649,BlackZone B310,639,44,3.9
217,"18,999",POCO,21,"14,999","POCO X2 (Phoenix Red, 64 GB)","2,29,195","25,308",4.5
218,"10,999",Redmi,15,"9,299","Redmi 9i (Sea Blue, 128 GB)","1,26,716","7,318",4.3
219,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Blue, 128 GB)","1,62,915","21,368",4.3
220,"13,999",Redmi,0,"13,999","Redmi Note 8 (Space Black, 64 GB)","41,971","3,054",4.4
221,"14,999",Realme,13,"12,999","Realme 6i (Eclipse Black, 64 GB)","56,227","5,985",4.4
222,"1,099",Lava,0,"1,099",Lava A1,"83,057","9,373",4.2
223,"20,999",Samsung,21,"16,499","Samsung Galaxy F41 (Fusion Green, 128 GB)","1,62,915","21,368",4.3
224,"1,049",Lava,0,"1,049",Lava A1,"13,537","1,342",4.2
225,"1,099",Lava,0,"1,099",Lava A3,"15,562","1,918",4.2
226,"1,099",Lava,0,"1,099",Lava A3,"15,562","1,918",4.2
227,"24,999",Moto,16,"20,999","Moto G 5G (Frosted Silver, 128 GB)","1,547",237,4.3
228,"27,999",Realme,17,"22,999","Realme X3 (Arctic White, 128 GB)","10,984","1,382",4.4
229,"15,990",OPPO,18,"12,990","OPPO A53 (Fairy White, 64 GB)","12,249",931,4.3
230,"27,999",Realme,17,"22,999","Realme X3 (Glacier Blue, 128 GB)","10,984","1,382",4.4
231,"5,001",Panasonic,0,"5,000","Panasonic Eluga I7 (Black, 16 GB)","2,465",246,3.7
232,"15,490",Vivo,25,"11,490","Vivo Y20i (Dawn White, 64 GB)","4,131",299,4.3
233,"19,999",Samsung,22,"15,499","Samsung Galaxy F41 (Fusion Blue, 64 GB)","1,62,915","21,368",4.3
234,"18,794",Samsung,5,"17,710","Samsung Galaxy M31 (Ocean Blue, 128 GB)","5,284",444,4.3
235,"1,335",Nokia,0,"1,335",Nokia TA-1174 / TA-1299,"42,694","4,443",4.2
236,"7,999",Honor,25,"5,999","Honor 9S (Blue, 32 GB)","17,663","2,592",3.8
237,"39,900",Apple,17,"32,999","Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)","78,810","6,926",4.5
238,"14,800",Redmi,4,"14,095","Redmi Note 9 Pro (Interstellar Black, 64 GB)","9,334",691,4.4
239,"12,990",OPPO,15,"10,990","OPPO A33 (Mint Cream, 32 GB)",292,21,4.1
